N,extraction,value
1,96,1.89122
2,96,2.47039
10,96,1.67233
100,96,0.91207
1,97,1.09948
2,97,2.93697
10,97,1.41517
100,97,1.06137
1,98,2.34818
2,98,1.37408
10,98,0.812429
100,98,0.93995
1,99,0.365669
2,99,0.635784
10,99,0.767278
100,99,0.773252
1,100,0.0675661
2,100,0.065145
10,100,0.84177
100,100,0.926927
1,101,1.3061
2,101,0.858844
10,101,1.18807
100,101,0.9497
1,102,0.421651
2,102,1.11591
10,102,1.10692
100,102,0.886881
1,103,2.38867
2,103,2.47839
10,103,1.40333
100,103,0.989977
1,104,1.21531
2,104,0.733182
10,104,0.911936
100,104,0.893264
1,105,0.856254
2,105,0.432848
10,105,1.12151
100,105,0.888846
1,106,1.3243
2,106,0.74193
10,106,0.881386
100,106,0.937084
1,107,0.155548
2,107,0.422016
10,107,0.65411
100,107,0.976268
1,108,0.0767726
2,108,0.190698
10,108,0.815599
100,108,1.03963
1,109,2.0913
2,109,1.15783
10,109,0.840574
100,109,0.923231
1,110,0.844017
2,110,0.509526
10,110,1.28239
100,110,0.98785
1,111,0.342479
2,111,1.21026
10,111,1.15016
100,111,1.01463
1,112,0.201171
2,112,0.416426
10,112,0.654157
100,112,0.992755
1,113,1.64881
2,113,1.30336
10,113,1.07784
100,113,0.962952
1,114,0.992383
2,114,1.31102
10,114,0.721473
100,114,1.14114
1,115,1.05142
2,115,1.02326
10,115,0.883264
100,115,0.808415
1,116,1.5016
2,116,1.21139
10,116,1.12493
100,116,1.07398
1,117,3.55859
2,117,2.00468
10,117,0.953981
100,117,1.09773
1,118,1.46776
2,118,1.54984
10,118,1.21057
100,118,0.968164
1,119,0.264319
2,119,0.133019
10,119,1.17755
100,119,0.954306
1,120,2.30368
2,120,1.42504
10,120,1.22701
100,120,1.03187
1,121,1.72503
2,121,1.07333
10,121,1.24318
100,121,0.906202
1,122,0.258409
2,122,1.67416
10,122,0.909958
100,122,1.01759
1,123,2.49485
2,123,1.26334
10,123,0.745562
100,123,0.892831
1,124,2.70705
2,124,1.94726
10,124,1.05421
100,124,0.905134
1,125,0.886438
2,125,0.525434
10,125,1.04711
100,125,0.94909
1,126,0.54272
2,126,1.33242
10,126,0.835194
100,126,0.97405
1,127,0.148797
2,127,0.191428
10,127,0.883465
100,127,0.948124
1,128,0.161457
2,128,0.723448
10,128,0.846664
100,128,0.963986
1,129,1.19723
2,129,0.905359
10,129,1.20969
100,129,0.938016
1,130,0.267702
2,130,0.318497
10,130,1.26884
100,130,1.28106
1,131,0.0514053
2,131,0.500577
10,131,0.726328
100,131,1.00699
1,132,1.42227
2,132,0.928941
10,132,0.853387
100,132,1.04298
1,133,1.21514
2,133,1.8188
10,133,1.10755
100,133,1.11002
1,134,1.85483
2,134,1.83119
10,134,1.19276
100,134,1.12802
1,135,0.230565
2,135,0.521867
10,135,0.98464
100,135,0.984669
1,136,0.618735
2,136,0.651649
10,136,0.874163
100,136,1.05027
1,137,1.21046
2,137,0.974931
10,137,1.21836
100,137,0.977365
1,138,4.34988
2,138,2.28261
10,138,0.783113
100,138,0.994514
1,139,1.30827
2,139,1.30078
10,139,0.9669
100,139,0.995194
1,140,0.677482
2,140,0.41728
10,140,1.3265
100,140,1.12682
1,141,0.304274
2,141,0.567132
10,141,1.28795
100,141,0.922071
1,142,1.51993
2,142,0.769029
10,142,0.983754
100,142,0.813715
1,143,4.65844
2,143,3.20002
10,143,1.24838
100,143,0.850464
1,144,0.188424
2,144,1.22808
10,144,0.570616
100,144,0.920058
1,145,1.88048
2,145,2.52756
10,145,1.25473
100,145,0.889812
1,146,0.0140896
2,146,0.0685956
10,146,0.387198
100,146,1.04375
1,147,1.49686
2,147,1.38213
10,147,0.78492
100,147,1.0263
1,148,3.10378
2,148,3.1732
10,148,1.27639
100,148,0.895553
1,149,1.34148
2,149,0.765189
10,149,1.00859
100,149,1.03273
1,150,2.88663
2,150,1.57625
10,150,0.804195
100,150,0.974065
1,151,3.41538
2,151,1.74607
10,151,1.34911
100,151,0.973148
1,152,3.91656
2,152,2.53751
10,152,1.58284
100,152,0.983304
1,153,0.613882
2,153,0.77655
10,153,0.973132
100,153,0.991877
1,154,0.918514
2,154,0.654716
10,154,1.25049
100,154,1.08134
1,155,1.23917
2,155,0.969827
10,155,0.958962
100,155,1.0947
1,156,0.123615
2,156,0.48587
10,156,0.779497
100,156,0.967462
1,157,1.19482
2,157,0.945395
10,157,1.19701
100,157,0.962468
1,158,0.871184
2,158,0.623248
10,158,1.23444
100,158,1.06307
1,159,0.0977632
2,159,0.16557
10,159,0.715981
100,159,0.977886
1,160,0.721457
2,160,1.13781
10,160,0.814943
100,160,0.822264
1,161,1.31991
2,161,0.840604
10,161,1.09871
100,161,1.05138
1,162,0.432858
2,162,0.447474
10,162,1.2862
100,162,0.970301
1,163,0.380961
2,163,0.253398
10,163,0.680336
100,163,1.08309
1,164,1.05799
2,164,0.637458
10,164,1.02516
100,164,0.883324
1,165,0.443056
2,165,0.658681
10,165,1.04717
100,165,0.906528
1,166,0.0427155
2,166,0.579725
10,166,1.01571
100,166,0.991085
1,167,0.463128
2,167,0.617502
10,167,0.711737
100,167,0.87889
1,168,2.2161
2,168,2.07323
10,168,1.12565
100,168,0.971881
1,169,0.359898
2,169,0.448385
10,169,0.67327
100,169,1.06172
1,170,1.38497
2,170,1.25505
10,170,1.47108
100,170,1.12916
1,171,0.230587
2,171,0.284098
10,171,0.621657
100,171,1.04252
1,172,0.720411
2,172,0.388718
10,172,0.992534
100,172,1.06445
1,173,0.170503
2,173,0.246402
10,173,0.988439
100,173,0.962821
1,174,0.408959
2,174,1.25335
10,174,1.18438
100,174,0.950602
1,175,0.52638
2,175,0.47245
10,175,0.535785
100,175,1.01173
1,176,0.330402
2,176,1.03506
10,176,0.599515
100,176,1.11519
1,177,1.59663
2,177,1.07909
10,177,0.900757
100,177,0.8557
1,178,1.28516
2,178,0.689367
10,178,0.697594
100,178,1.11061
1,179,0.472957
2,179,2.26567
10,179,1.09186
100,179,1.07002
1,180,0.655023
2,180,1.80611
10,180,1.6297
100,180,1.15942
1,181,0.369715
2,181,1.06788
10,181,0.828276
100,181,0.898207
1,182,1.19788
2,182,0.711891
10,182,0.744184
100,182,1.00639
1,183,4.433
2,183,2.49809
10,183,0.787251
100,183,1.02352
1,184,0.63584
2,184,0.652877
10,184,0.713137
100,184,1.06036
1,185,0.526294
2,185,0.611447
10,185,1.20256
100,185,0.964993
1,186,0.230409
2,186,0.417458
10,186,0.47478
100,186,0.844355
1,187,1.51246
2,187,3.26822
10,187,1.48114
100,187,0.994658
1,188,1.32075
2,188,1.46638
10,188,1.45
100,188,1.06307
1,189,0.465002
2,189,0.527649
10,189,0.730396
100,189,0.866044
1,190,0.164192
2,190,0.191305
10,190,0.908952
100,190,0.977634
1,191,0.964534
2,191,1.09684
10,191,0.765032
100,191,0.996001
1,192,0.547089
2,192,0.299887
10,192,0.686502
100,192,1.10944
1,193,0.600383
2,193,0.311107
10,193,1.19027
100,193,0.865297
1,194,1.19859
2,194,0.689275
10,194,0.848758
100,194,0.826184
1,195,2.10338
2,195,1.37874
10,195,1.0999
100,195,1.14674
1,196,0.525335
2,196,0.397096
10,196,1.23929
100,196,1.03318
1,197,1.64162
2,197,1.7502
10,197,1.13201
100,197,0.964713
1,198,0.0693406
2,198,0.174431
10,198,1.02448
100,198,0.925113
1,199,0.114045
2,199,0.716084
10,199,0.544442
100,199,0.816616
1,200,1.81414
2,200,1.50089
10,200,0.794847
100,200,0.925765
1,201,2.56652
2,201,1.38008
10,201,0.834518
100,201,0.941115
1,202,1.7922
2,202,1.56177
10,202,1.32285
100,202,0.905031
1,203,0.237651
2,203,0.508795
10,203,0.931717
100,203,1.06994
1,204,0.18198
2,204,0.163096
10,204,1.27733
100,204,0.971395
1,205,0.777254
2,205,1.24593
10,205,0.755754
100,205,1.00887
1,206,1.30355
2,206,0.720266
10,206,1.07082
100,206,1.01757
1,207,0.126265
2,207,0.230033
10,207,0.992464
100,207,1.0215
1,208,1.28434
2,208,0.717476
10,208,0.941953
100,208,0.947488
1,209,0.0744437
2,209,0.395033
10,209,0.575708
100,209,1.22398
1,210,2.75452
2,210,1.60053
10,210,1.13592
100,210,1.01638
1,211,3.18406
2,211,2.34138
10,211,1.86181
100,211,1.29271
1,212,1.38317
2,212,0.801238
10,212,1.17863
100,212,0.985783
1,213,0.75693
2,213,1.20859
10,213,0.735454
100,213,1.10048
1,214,2.24234
2,214,1.5699
10,214,1.23311
100,214,1.00447
1,215,1.32733
2,215,1.9352
10,215,1.50798
100,215,1.06852
1,216,3.00791
2,216,1.62017
10,216,1.4098
100,216,1.05052
1,217,3.09192
2,217,1.88711
10,217,1.26925
100,217,0.834619
1,218,0.887863
2,218,0.763823
10,218,0.858177
100,218,0.947176
1,219,0.690041
2,219,1.28116
10,219,1.58487
100,219,0.984677
1,220,0.790651
2,220,0.749026
10,220,0.53179
100,220,0.9332
1,221,0.395609
2,221,0.499965
10,221,0.821766
100,221,0.90613
1,222,0.443314
2,222,1.39334
10,222,1.07283
100,222,1.15975
1,223,0.0223912
2,223,0.408571
10,223,1.62188
100,223,0.904921
1,224,1.70242
2,224,1.09306
10,224,1.26672
100,224,0.953262
1,225,0.00221753
2,225,0.0419224
10,225,0.689412
100,225,0.849692
1,226,0.209714
2,226,0.29241
10,226,0.858999
100,226,1.13165
1,227,3.64821
2,227,1.84269
10,227,1.04444
100,227,1.04025
1,228,0.16989
2,228,0.133968
10,228,0.486405
100,228,1.11263
1,229,0.996196
2,229,0.582893
10,229,0.522896
100,229,0.92889
1,230,0.725387
2,230,0.631324
10,230,1.5822
100,230,0.943215
1,231,0.894441
2,231,2.27112
10,231,1.37431
100,231,0.938288
1,232,0.949732
2,232,0.71414
10,232,1.05345
100,232,1.02983
1,233,0.868782
2,233,0.58589
10,233,0.911817
100,233,0.802772
1,234,0.731294
2,234,0.69978
10,234,0.977438
100,234,0.971554
1,235,1.92443
2,235,1.82163
10,235,0.822
100,235,1.05652
1,236,2.95875
2,236,1.81822
10,236,1.11974
100,236,1.08221
1,237,1.98355
2,237,1.51712
10,237,0.892733
100,237,0.905019
1,238,2.57178
2,238,1.35467
10,238,0.784009
100,238,0.930638
1,239,0.174054
2,239,0.410439
10,239,0.564215
100,239,0.964017
1,240,0.195941
2,240,0.69823
10,240,1.50764
100,240,0.995516
1,241,0.806062
2,241,0.930266
10,241,1.10997
100,241,0.839907
1,242,0.357381
2,242,0.559071
10,242,0.756735
100,242,0.910157
1,243,0.685445
2,243,0.616955
10,243,0.68403
100,243,0.809382
1,244,0.982058
2,244,0.676584
10,244,0.423082
100,244,1.11783
1,245,1.27499
2,245,1.04809
10,245,0.678434
100,245,1.02138
1,246,1.98269
2,246,1.1382
10,246,0.859309
100,246,0.84943
1,247,0.122804
2,247,0.288029
10,247,0.989402
100,247,0.935206
1,248,0.6318
2,248,0.422487
10,248,1.27265
100,248,1.00656
1,249,1.86445
2,249,0.946857
10,249,1.10843
100,249,1.13076
1,250,1.44264
2,250,1.04536
10,250,0.972987
100,250,0.917136
1,251,1.23356
2,251,0.85292
10,251,1.12103
100,251,0.996237
1,252,1.55128
2,252,1.54672
10,252,1.02179
100,252,1.00745
1,253,1.36871
2,253,2.31884
10,253,1.51575
100,253,1.04076
1,254,2.30203
2,254,1.9057
10,254,0.916546
100,254,1.02601
1,255,0.0818323
2,255,0.43042
10,255,1.01151
100,255,0.897466
1,256,0.125907
2,256,0.554536
10,256,0.976187
100,256,0.94176
1,257,0.00261963
2,257,1.18933
10,257,0.816276
100,257,1.15971
1,258,0.230336
2,258,0.373124
10,258,1.0936
100,258,1.1319
1,259,0.37678
2,259,0.237739
10,259,0.881491
100,259,1.00503
1,260,0.682038
2,260,0.560085
10,260,1.23999
100,260,0.988054
1,261,2.13706
2,261,2.54668
10,261,1.39937
100,261,1.07363
1,262,0.605133
2,262,0.31415
10,262,0.692292
100,262,1.00893
1,263,0.622777
2,263,0.345126
10,263,0.896636
100,263,1.13544
1,264,0.00173052
2,264,0.140438
10,264,0.820041
100,264,0.970823
1,265,1.42207
2,265,0.762133
10,265,0.921145
100,265,1.01108
1,266,0.809125
2,266,0.41005
10,266,1.09276
100,266,0.923247
1,267,1.23718
2,267,0.893304
10,267,0.472702
100,267,0.906606
1,268,1.74074
2,268,0.987063
10,268,1.61722
100,268,1.02504
1,269,0.0419942
2,269,0.125309
10,269,0.886815
100,269,1.14671
1,270,0.436826
2,270,0.333608
10,270,1.08141
100,270,1.08874
1,271,0.0434829
2,271,0.648088
10,271,0.481985
100,271,1.1409
1,272,1.5859
2,272,0.990914
10,272,0.738663
100,272,1.03315
1,273,0.901553
2,273,0.607493
10,273,0.663848
100,273,0.938146
1,274,2.69032
2,274,1.44442
10,274,1.06882
100,274,0.925432
1,275,0.567383
2,275,0.401796
10,275,0.571482
100,275,0.878957
1,276,0.58419
2,276,1.26998
10,276,0.847822
100,276,0.878946
1,277,1.08878
2,277,0.8845
10,277,0.843466
100,277,1.04174
1,278,0.516912
2,278,0.262367
10,278,0.733487
100,278,0.918671
1,279,0.70816
2,279,0.749806
10,279,1.24864
100,279,1.08294
1,280,0.777685
2,280,1.10096
10,280,1.06935
100,280,0.970945
1,281,0.355815
2,281,0.539344
10,281,0.514482
100,281,1.05128
1,282,0.242097
2,282,0.500736
10,282,0.994432
100,282,0.945948
1,283,1.27734
2,283,1.64772
10,283,1.77189
100,283,1.0717
1,284,0.172109
2,284,0.689555
10,284,1.57369
100,284,1.24402
1,285,0.32969
2,285,0.401593
10,285,0.805192
100,285,0.923531
1,286,2.88421
2,286,1.51316
10,286,1.16687
100,286,0.988875
1,287,0.0329478
2,287,0.329351
10,287,1.69336
100,287,1.1378
1,288,0.231842
2,288,0.559189
10,288,0.78605
100,288,1.07589
1,289,0.773656
2,289,1.59039
10,289,1.06721
100,289,1.22768
1,290,0.913174
2,290,2.93703
10,290,1.22045
100,290,1.11326
1,291,0.0787635
2,291,1.35387
10,291,0.777255
100,291,1.12333
1,292,0.674679
2,292,0.765646
10,292,1.52607
100,292,1.11778
1,293,0.0832128
2,293,0.523386
10,293,0.444543
100,293,0.906215
1,294,0.537364
2,294,1.28575
10,294,1.12231
100,294,1.11622
1,295,1.81032
2,295,1.65687
10,295,0.98072
100,295,0.878694
1,296,0.292839
2,296,0.587935
10,296,0.960253
100,296,1.06227
1,297,0.529677
2,297,0.305287
10,297,0.652797
100,297,0.898261
1,298,0.173678
2,298,0.306953
10,298,0.642063
100,298,0.790964
1,299,1.73643
2,299,1.34551
10,299,1.23316
100,299,0.945128
1,300,0.262102
2,300,0.331203
10,300,0.685465
100,300,0.8552
1,301,0.622323
2,301,1.18115
10,301,0.969484
100,301,0.821045
1,302,2.53683
2,302,1.80142
10,302,1.33252
100,302,1.1489
1,303,1.36916
2,303,1.40082
10,303,0.933183
100,303,1.03149
1,304,0.214878
2,304,0.958224
10,304,0.746222
100,304,0.950952
1,305,0.0143158
2,305,0.700417
10,305,0.737694
100,305,1.00351
1,306,0.538537
2,306,1.19871
10,306,1.05528
100,306,0.804245
1,307,1.14384
2,307,0.828083
10,307,0.987061
100,307,1.14058
1,308,0.00206174
2,308,0.241983
10,308,1.18168
100,308,1.17164
1,309,0.950267
2,309,2.94328
10,309,1.15898
100,309,1.13824
1,310,1.54412
2,310,1.28318
10,310,2.03363
100,310,1.21312
1,311,1.4119
2,311,0.832905
10,311,0.652928
100,311,1.13665
1,312,0.16557
2,312,0.191482
10,312,1.1928
100,312,0.921307
1,313,0.00537338
2,313,0.203498
10,313,0.925225
100,313,0.878666
1,314,2.25115
2,314,1.68287
10,314,0.998767
100,314,0.820619
1,315,0.378785
2,315,0.611485
10,315,0.389573
100,315,1.0156
1,316,1.74757
2,316,1.04059
10,316,0.627698
100,316,1.03493
1,317,0.0553281
2,317,0.0661696
10,317,0.71253
100,317,0.974786
1,318,0.135181
2,318,0.207958
10,318,0.95041
100,318,0.803993
1,319,0.908031
2,319,0.489365
10,319,0.857693
100,319,0.927712
1,320,0.573254
2,320,0.311139
10,320,0.616094
100,320,0.809248
1,321,0.180589
2,321,0.396448
10,321,0.617309
100,321,0.935764
1,322,1.16383
2,322,1.0513
10,322,1.27834
100,322,0.897699
1,323,2.36455
2,323,1.94418
10,323,1.43104
100,323,1.1084
1,324,1.14354
2,324,0.735762
10,324,0.850319
100,324,0.922003
1,325,0.239113
2,325,0.501882
10,325,1.11779
100,325,1.06851
1,326,0.517644
2,326,0.907814
10,326,0.745307
100,326,0.805486
1,327,0.342397
2,327,1.12387
10,327,0.939741
100,327,0.982399
1,328,0.0936575
2,328,0.615647
10,328,0.835684
100,328,0.79426
1,329,3.21404
2,329,2.02469
10,329,1.23457
100,329,1.14035
1,330,0.019606
2,330,0.399631
10,330,0.949167
100,330,1.06936
1,331,1.23792
2,331,1.12135
10,331,0.736744
100,331,1.04225
1,332,0.0719786
2,332,1.07129
10,332,1.23389
100,332,1.17973
1,333,4.17103
2,333,3.33661
10,333,1.89082
100,333,1.05738
1,334,5.25078
2,334,3.30391
10,334,1.8287
100,334,1.00777
1,335,1.26068
2,335,0.845475
10,335,1.30209
100,335,0.951548
1,336,0.615003
2,336,1.66301
10,336,0.917632
100,336,1.11896
1,337,0.108749
2,337,0.353249
10,337,1.19663
100,337,1.07272
1,338,1.64567
2,338,0.840963
10,338,0.881874
100,338,0.857804
1,339,0.973841
2,339,0.612514
10,339,0.937887
100,339,0.904802
1,340,0.855564
2,340,0.675144
10,340,1.1962
100,340,1.13245
1,341,0.347184
2,341,0.437005
10,341,0.673919
100,341,1.03172
1,342,1.3796
2,342,1.88547
10,342,1.19911
100,342,1.00208
1,343,0.194508
2,343,0.161867
10,343,1.19641
100,343,1.04188
1,344,1.42205
2,344,1.41427
10,344,0.846972
100,344,0.798569
1,345,0.127027
2,345,0.934291
10,345,1.4822
100,345,1.01873
1,346,0.253393
2,346,1.27546
10,346,1.29041
100,346,1.04321
1,347,1.34394
2,347,1.28409
10,347,1.19093
100,347,0.987436
1,348,0.56024
2,348,0.66323
10,348,1.04602
100,348,1.13451
1,349,1.06265
2,349,0.783768
10,349,1.03468
100,349,1.03775
1,350,0.802068
2,350,0.627882
10,350,0.666224
100,350,0.927108
1,351,3.06114
2,351,1.56534
10,351,1.00055
100,351,1.00479
1,352,0.988537
2,352,1.19266
10,352,0.532355
100,352,0.929458
1,353,2.3626
2,353,2.28834
10,353,1.61311
100,353,0.949284
1,354,0.302237
2,354,0.835833
10,354,0.705832
100,354,1.04071
1,355,2.52707
2,355,2.28203
10,355,1.14942
100,355,0.938733
1,356,0.0739941
2,356,1.65266
10,356,1.32995
100,356,0.954668
1,357,1.3381
2,357,0.685274
10,357,0.92917
100,357,1.05184
1,358,2.21554
2,358,1.31337
10,358,1.12982
100,358,1.07558
1,359,2.06449
2,359,3.67285
10,359,2.09312
100,359,1.00091
1,360,1.19398
2,360,1.31384
10,360,0.954875
100,360,1.05406
1,361,0.350057
2,361,1.30078
10,361,0.926425
100,361,1.10724
1,362,0.342646
2,362,0.575143
10,362,1.02607
100,362,1.0209
1,363,0.432075
2,363,0.792387
10,363,0.949748
100,363,1.15911
1,364,1.24988
2,364,1.49763
10,364,1.1997
100,364,1.0577
1,365,2.64875
2,365,2.12209
10,365,1.01848
100,365,1.07945
1,366,0.535359
2,366,0.86957
10,366,0.846089
100,366,0.964747
1,367,2.05011
2,367,1.12457
10,367,0.93876
100,367,0.975216
1,368,0.161389
2,368,0.341186
10,368,1.30445
100,368,1.29588
1,369,0.96365
2,369,1.07206
10,369,0.918504
100,369,1.01394
1,370,0.985889
2,370,0.626105
10,370,0.952536
100,370,1.13355
1,371,0.111638
2,371,1.08059
10,371,1.11826
100,371,0.926268
1,372,2.30788
2,372,1.37676
10,372,0.669336
100,372,1.02095
1,373,2.25194
2,373,1.15894
10,373,1.69963
100,373,1.15794
1,374,0.683786
2,374,0.728123
10,374,0.723291
100,374,0.92307
1,375,0.803219
2,375,1.73858
10,375,0.946035
100,375,0.818431
1,376,0.331413
2,376,0.70757
10,376,1.05449
100,376,1.08373
1,377,0.309695
2,377,0.342487
10,377,0.584333
100,377,1.02031
1,378,0.0966795
2,378,0.151388
10,378,0.732849
100,378,1.05443
1,379,1.23714
2,379,0.930579
10,379,1.49759
100,379,1.19441
1,380,0.076955
2,380,0.315367
10,380,0.865495
100,380,1.1486
1,381,0.152562
2,381,0.610537
10,381,1.14463
100,381,1.13307
1,382,1.5748
2,382,1.40635
10,382,1.05855
100,382,0.918874
1,383,1.3959
2,383,0.777639
10,383,1.0223
100,383,1.06923
1,384,0.0745157
2,384,0.30784
10,384,0.987801
100,384,1.07288
1,385,0.291439
2,385,0.509534
10,385,0.983204
100,385,0.960842
1,386,0.855903
2,386,1.43787
10,386,1.30792
100,386,1.02996
1,387,1.21119
2,387,0.838016
10,387,0.879581
100,387,0.946892
1,388,0.144436
