N,extraction,value
2,69,0.602761
10,69,0.616062
100,69,0.501283
1,70,0.796234
2,70,0.794082
10,70,0.552301
100,70,0.468914
1,71,0.660751
2,71,0.396491
10,71,0.388948
100,71,0.542013
1,72,0.490203
2,72,0.705331
10,72,0.579204
100,72,0.499311
1,73,0.750023
2,73,0.839758
10,73,0.402334
100,73,0.509928
1,74,0.169077
2,74,0.481508
10,74,0.390293
100,74,0.465806
1,75,0.971672
2,75,0.613041
10,75,0.492812
100,75,0.51454
1,76,0.971252
2,76,0.856658
10,76,0.582492
100,76,0.589188
1,77,0.439851
2,77,0.516113
10,77,0.501482
100,77,0.511594
1,78,0.167374
2,78,0.422314
10,78,0.451287
100,78,0.485822
1,79,0.624746
2,79,0.68466
10,79,0.527289
100,79,0.478233
1,80,0.645018
2,80,0.44958
10,80,0.499523
100,80,0.480783
1,81,0.536475
2,81,0.767834
10,81,0.441288
100,81,0.494105
1,82,0.0418085
2,82,0.172149
10,82,0.407142
100,82,0.516928
1,83,0.0574293
2,83,0.0667362
10,83,0.361854
100,83,0.488407
1,84,0.526969
2,84,0.530264
10,84,0.561864
100,84,0.459915
1,85,0.423042
2,85,0.633848
10,85,0.490828
100,85,0.492869
1,86,0.231321
2,86,0.375611
10,86,0.550796
100,86,0.499148
1,87,0.851002
2,87,0.833392
10,87,0.610596
100,87,0.530666
1,88,0.325709
2,88,0.63715
10,88,0.712984
100,88,0.534664
1,89,0.318904
2,89,0.362636
10,89,0.442114
100,89,0.531279
1,90,0.747872
2,90,0.447889
10,90,0.452906
100,90,0.48996
1,91,0.490332
2,91,0.734129
10,91,0.563861
100,91,0.481285
1,92,0.577746
2,92,0.732589
10,92,0.614892
100,92,0.520753
1,93,0.789385
2,93,0.718878
10,93,0.491735
100,93,0.541093
1,94,0.0612086
2,94,0.256407
10,94,0.418493
100,94,0.479683
1,95,0.623637
2,95,0.750464
10,95,0.619888
100,95,0.527607
1,96,0.282258
2,96,0.634484
10,96,0.554778
100,96,0.496945
1,97,0.755541
2,97,0.790091
10,97,0.622495
100,97,0.502834
1,98,0.48363
2,98,0.30246
10,98,0.343578
100,98,0.486871
1,99,0.822257
2,99,0.652575
10,99,0.416458
100,99,0.488428
1,100,0.0358567
2,100,0.447933
10,100,0.551656
100,100,0.470433
1,101,0.00393366
2,101,0.293271
10,101,0.585057
100,101,0.516172
1,102,0.0547541
2,102,0.402857
10,102,0.571826
100,102,0.473701
1,103,0.840414
2,103,0.555936
10,103,0.462526
100,103,0.494394
1,104,0.667356
2,104,0.496868
10,104,0.363001
100,104,0.512226
1,105,0.196389
2,105,0.381532
10,105,0.47958
100,105,0.520323
1,106,0.926281
2,106,0.871561
10,106,0.551183
100,106,0.531365
1,107,0.37498
2,107,0.477962
10,107,0.569867
100,107,0.528386
1,108,0.372536
2,108,0.255693
10,108,0.591392
100,108,0.482546
1,109,0.379767
2,109,0.450749
10,109,0.437364
100,109,0.504433
1,110,0.24676
2,110,0.20133
10,110,0.490522
100,110,0.505461
1,111,0.325244
2,111,0.394647
10,111,0.484714
100,111,0.535913
1,112,0.348906
2,112,0.280929
10,112,0.391152
100,112,0.446213
1,113,0.995724
2,113,0.946196
10,113,0.602487
100,113,0.507972
1,114,0.546356
2,114,0.745358
10,114,0.716277
100,114,0.551381
1,115,0.552673
2,115,0.297207
10,115,0.519399
100,115,0.485503
1,116,0.930477
2,116,0.642854
10,116,0.374989
100,116,0.52804
1,117,0.390483
2,117,0.66919
10,117,0.413447
100,117,0.511124
1,118,0.621614
2,118,0.398916
10,118,0.529089
100,118,0.489705
1,119,0.140684
2,119,0.248718
10,119,0.483997
100,119,0.509094
1,120,0.22252
2,120,0.35714
10,120,0.420637
100,120,0.518222
1,121,0.824595
2,121,0.583727
10,121,0.584801
100,121,0.495176
1,122,0.920225
2,122,0.780989
10,122,0.460443
100,122,0.511589
1,123,0.154405
2,123,0.440757
10,123,0.41796
100,123,0.502423
1,124,0.236336
2,124,0.316497
10,124,0.377494
100,124,0.527724
1,125,0.982705
2,125,0.623127
10,125,0.588811
100,125,0.462912
1,126,0.425789
2,126,0.415921
10,126,0.529314
100,126,0.484158
1,127,0.900442
2,127,0.750047
10,127,0.521765
100,127,0.495416
1,128,0.52402
2,128,0.722314
10,128,0.573267
100,128,0.493677
1,129,0.983322
2,129,0.496673
10,129,0.437076
100,129,0.479001
1,130,0.042588
2,130,0.415054
10,130,0.498798
100,130,0.475894
1,131,0.686644
2,131,0.795091
10,131,0.488548
100,131,0.492581
1,132,0.313227
2,132,0.516296
10,132,0.520608
100,132,0.464763
1,133,0.888577
2,133,0.496249
10,133,0.36218
100,133,0.470389
1,134,0.480343
2,134,0.658369
10,134,0.532765
100,134,0.512028
1,135,0.08187
2,135,0.492816
10,135,0.53575
100,135,0.543399
1,136,0.141938
2,136,0.312108
10,136,0.523758
100,136,0.50661
1,137,0.713998
2,137,0.802986
10,137,0.599331
100,137,0.496686
1,138,0.638984
2,138,0.476125
10,138,0.452488
100,138,0.499932
1,139,0.675754
2,139,0.615216
10,139,0.536753
100,139,0.532712
1,140,0.993224
2,140,0.827015
10,140,0.485187
100,140,0.477181
1,141,0.938267
2,141,0.793899
10,141,0.667998
100,141,0.570563
1,142,0.493417
2,142,0.330502
10,142,0.393291
100,142,0.484508
1,143,0.338469
2,143,0.345986
10,143,0.452526
100,143,0.491114
1,144,0.930015
2,144,0.813521
10,144,0.512233
100,144,0.492163
1,145,0.51299
2,145,0.348527
10,145,0.453555
100,145,0.498137
1,146,0.478286
2,146,0.49724
10,146,0.461187
100,146,0.493576
1,147,0.980496
2,147,0.83717
10,147,0.76326
100,147,0.495344
1,148,0.229862
2,148,0.491013
10,148,0.523743
100,148,0.520361
1,149,0.372463
2,149,0.655577
10,149,0.488923
100,149,0.479366
1,150,0.37274
2,150,0.24728
10,150,0.38952
100,150,0.513272
1,151,0.812388
2,151,0.765796
10,151,0.700012
100,151,0.528675
1,152,0.0197041
2,152,0.477397
10,152,0.456717
100,152,0.529085
1,153,0.443436
2,153,0.519559
10,153,0.536205
100,153,0.498435
1,154,0.6852
2,154,0.528405
10,154,0.595603
100,154,0.50343
1,155,0.104532
2,155,0.390521
10,155,0.576345
100,155,0.481303
1,156,0.410635
2,156,0.220741
10,156,0.572943
100,156,0.519544
1,157,0.154878
2,157,0.167436
10,157,0.268334
100,157,0.544151
1,158,0.538123
2,158,0.646881
10,158,0.437362
100,158,0.522979
1,159,0.446921
2,159,0.608269
10,159,0.419968
100,159,0.480742
1,160,0.132666
2,160,0.430919
10,160,0.465643
100,160,0.482234
1,161,0.447746
2,161,0.555252
10,161,0.650706
100,161,0.54033
1,162,0.052769
2,162,0.449095
10,162,0.469972
100,162,0.505331
1,163,0.508917
2,163,0.51087
10,163,0.504377
100,163,0.54221
1,164,0.669496
2,164,0.511244
10,164,0.466109
100,164,0.472329
1,165,0.284747
2,165,0.174785
10,165,0.622826
100,165,0.546191
1,166,0.233965
2,166,0.503199
10,166,0.502504
100,166,0.563772
1,167,0.299013
2,167,0.441705
10,167,0.480496
100,167,0.499022
1,168,0.893273
2,168,0.490116
10,168,0.350348
100,168,0.465075
1,169,0.660104
2,169,0.36018
10,169,0.379948
100,169,0.486743
1,170,0.354871
2,170,0.28075
10,170,0.454561
100,170,0.486851
1,171,0.924605
2,171,0.552344
10,171,0.408318
100,171,0.472981
1,172,0.199361
2,172,0.452658
10,172,0.545718
100,172,0.421174
1,173,0.109325
2,173,0.0945909
10,173,0.454712
100,173,0.533179
1,174,0.841747
2,174,0.838348
10,174,0.512918
100,174,0.523775
1,175,0.851754
2,175,0.859187
10,175,0.588543
100,175,0.534767
1,176,0.141107
2,176,0.472359
10,176,0.537574
100,176,0.522183
1,177,0.718965
2,177,0.816823
10,177,0.498791
100,177,0.473265
1,178,0.658717
2,178,0.499281
10,178,0.488166
100,178,0.479795
1,179,0.66495
2,179,0.800104
10,179,0.594222
100,179,0.454329
1,180,0.564604
2,180,0.542713
10,180,0.575904
100,180,0.495896
1,181,0.636393
2,181,0.727972
10,181,0.464524
100,181,0.56173
1,182,0.192537
2,182,0.535159
10,182,0.471351
100,182,0.491599
1,183,0.326882
2,183,0.291076
10,183,0.302396
100,183,0.511275
1,184,0.243459
2,184,0.508861
10,184,0.581971
100,184,0.53174
1,185,0.0795574
2,185,0.0980662
10,185,0.486564
100,185,0.500659
1,186,0.637356
2,186,0.347564
10,186,0.390615
100,186,0.492701
1,187,0.9382
2,187,0.782838
10,187,0.625738
100,187,0.525263
1,188,0.0135587
2,188,0.49923
10,188,0.554954
100,188,0.536167
1,189,0.846752
2,189,0.572705
10,189,0.563511
100,189,0.469881
1,190,0.879487
2,190,0.649681
10,190,0.667835
100,190,0.498834
1,191,0.997282
2,191,0.817515
10,191,0.644189
100,191,0.516391
1,192,0.407832
2,192,0.357178
10,192,0.478589
100,192,0.48804
1,193,0.326382
2,193,0.4797
10,193,0.43956
100,193,0.50736
1,194,0.882169
2,194,0.647945
10,194,0.575266
100,194,0.54334
1,195,0.160001
2,195,0.0852664
10,195,0.436605
100,195,0.465588
1,196,0.791019
2,196,0.572626
10,196,0.427811
100,196,0.464023
1,197,0.00672678
2,197,0.135719
10,197,0.386138
100,197,0.479588
1,198,0.570335
2,198,0.723679
10,198,0.69218
100,198,0.542558
1,199,0.499488
2,199,0.480926
10,199,0.612394
100,199,0.545005
1,200,0.994436
2,200,0.713709
10,200,0.575389
100,200,0.533979
1,201,0.485711
2,201,0.652921
10,201,0.483544
100,201,0.511972
1,202,0.215374
2,202,0.114736
10,202,0.461506
100,202,0.501217
1,203,0.265899
2,203,0.16064
10,203,0.343156
100,203,0.478404
1,204,0.45074
2,204,0.358408
10,204,0.598574
100,204,0.486354
1,205,0.980664
2,205,0.7456
10,205,0.60259
100,205,0.469228
1,206,0.319902
2,206,0.597138
10,206,0.546475
100,206,0.477828
1,207,0.14618
2,207,0.0985116
10,207,0.394328
100,207,0.501552
1,208,0.828694
2,208,0.526195
10,208,0.485734
100,208,0.483568
1,209,0.33809
2,209,0.536828
10,209,0.486245
100,209,0.49577
1,210,0.00252314
2,210,0.166718
10,210,0.387254
100,210,0.430071
1,211,0.0238348
2,211,0.143239
10,211,0.456818
100,211,0.492607
1,212,0.167934
2,212,0.109676
10,212,0.442997
100,212,0.55741
1,213,0.543432
2,213,0.365091
10,213,0.43127
100,213,0.5261
1,214,0.882596
2,214,0.72076
10,214,0.557592
100,214,0.520188
1,215,0.238687
2,215,0.574756
10,215,0.578652
100,215,0.512514
1,216,0.513736
2,216,0.306223
10,216,0.500892
100,216,0.504422
1,217,0.730838
2,217,0.59093
10,217,0.569863
100,217,0.565201
1,218,0.465003
2,218,0.23964
10,218,0.521458
100,218,0.540373
1,219,0.346648
2,219,0.660873
10,219,0.496609
100,219,0.50539
1,220,0.0517769
2,220,0.0496236
10,220,0.420989
100,220,0.481298
1,221,0.692924
2,221,0.403586
10,221,0.351297
100,221,0.548924
1,222,0.0249095
2,222,0.468465
10,222,0.489683
100,222,0.498163
1,223,0.379482
2,223,0.213921
10,223,0.567868
100,223,0.49892
1,224,0.742905
2,224,0.441718
10,224,0.502539
100,224,0.470267
1,225,0.890544
2,225,0.627637
10,225,0.623564
100,225,0.524382
1,226,0.992536
2,226,0.598717
10,226,0.576597
100,226,0.581828
1,227,0.604574
2,227,0.647385
10,227,0.401641
100,227,0.514741
1,228,0.457902
2,228,0.684038
10,228,0.589114
100,228,0.524487
1,229,0.962553
2,229,0.529638
10,229,0.41501
100,229,0.460339
1,230,0.837919
2,230,0.44989
10,230,0.556677
100,230,0.475762
1,231,0.78469
2,231,0.532551
10,231,0.39082
100,231,0.458842
1,232,0.612251
2,232,0.50945
10,232,0.575253
100,232,0.493435
1,233,0.735572
2,233,0.624765
10,233,0.515981
100,233,0.477601
1,234,0.455679
2,234,0.651133
10,234,0.62118
100,234,0.525875
1,235,0.937748
2,235,0.655145
10,235,0.443616
100,235,0.511944
1,236,0.300902
2,236,0.613797
10,236,0.513093
100,236,0.4883
1,237,0.733756
2,237,0.483454
10,237,0.460462
100,237,0.509407
1,238,0.0497857
2,238,0.32289
10,238,0.534787
100,238,0.534979
1,239,0.596581
2,239,0.571971
10,239,0.515198
100,239,0.4899
1,240,0.933037
2,240,0.587534
10,240,0.519019
100,240,0.497368
1,241,0.188557
2,241,0.538039
10,241,0.507717
100,241,0.501818
1,242,0.518324
2,242,0.75854
10,242,0.592245
100,242,0.558185
1,243,0.568702
2,243,0.667554
10,243,0.439334
100,243,0.484079
1,244,0.366833
2,244,0.347373
10,244,0.580299
100,244,0.46142
1,245,0.548492
2,245,0.389396
10,245,0.523929
100,245,0.49411
1,246,0.338258
2,246,0.606039
10,246,0.575005
100,246,0.558289
1,247,0.196072
2,247,0.210783
10,247,0.460032
100,247,0.55176
1,248,0.544233
2,248,0.567923
10,248,0.661728
100,248,0.499117
1,249,0.488906
2,249,0.613583
10,249,0.663841
100,249,0.499162
1,250,0.950198
2,250,0.549558
10,250,0.607863
100,250,0.511165
1,251,0.114864
2,251,0.411546
10,251,0.363182
100,251,0.476522
1,252,0.625707
2,252,0.61333
10,252,0.512264
100,252,0.502391
1,253,0.421742
2,253,0.568481
10,253,0.4524
100,253,0.47385
1,254,0.643167
2,254,0.491127
10,254,0.615602
100,254,0.511152
1,255,0.515228
2,255,0.477373
10,255,0.508195
100,255,0.478633
1,256,0.625021
2,256,0.468917
10,256,0.471674
100,256,0.491839
1,257,0.505301
2,257,0.700432
10,257,0.566391
100,257,0.489435
1,258,0.939364
2,258,0.732273
10,258,0.679633
100,258,0.496452
1,259,0.901061
2,259,0.67008
10,259,0.459644
100,259,0.485444
1,260,0.543999
2,260,0.672826
10,260,0.477172
100,260,0.532111
1,261,0.154011
2,261,0.350882
10,261,0.516085
100,261,0.491953
1,262,0.47893
2,262,0.655663
10,262,0.694632
100,262,0.544511
1,263,0.349764
2,263,0.362405
10,263,0.518904
100,263,0.551776
1,264,0.00729227
2,264,0.247657
10,264,0.470058
100,264,0.507302
1,265,0.0481923
2,265,0.0630227
10,265,0.426872
100,265,0.432608
1,266,0.404717
2,266,0.406741
10,266,0.425185
100,266,0.457418
1,267,0.272016
2,267,0.594651
10,267,0.655795
100,267,0.540313
1,268,0.397142
2,268,0.632111
10,268,0.602364
100,268,0.53634
1,269,0.643824
2,269,0.388428
10,269,0.42091
100,269,0.488161
1,270,0.24705
2,270,0.575373
10,270,0.462427
100,270,0.487292
1,271,0.671537
2,271,0.631325
10,271,0.640218
100,271,0.521992
1,272,0.488148
2,272,0.612627
10,272,0.543487
100,272,0.518381
1,273,0.182307
2,273,0.193699
10,273,0.498757
100,273,0.531324
1,274,0.308491
2,274,0.377484
10,274,0.28068
100,274,0.531671
1,275,0.904852
2,275,0.517781
10,275,0.573802
100,275,0.536394
1,276,0.582031
2,276,0.755027
10,276,0.586837
100,276,0.508194
1,277,0.200231
2,277,0.467101
10,277,0.521019
100,277,0.531142
1,278,0.548611
2,278,0.336701
10,278,0.594099
100,278,0.448905
1,279,0.941057
2,279,0.636857
10,279,0.521539
100,279,0.492131
1,280,0.1424
2,280,0.336153
10,280,0.256472
100,280,0.451559
1,281,0.539142
2,281,0.625209
10,281,0.489986
100,281,0.513396
1,282,0.968751
2,282,0.965993
10,282,0.413308
100,282,0.473547
1,283,0.121587
2,283,0.265521
10,283,0.443428
100,283,0.477244
1,284,0.929518
2,284,0.77551
10,284,0.613741
100,284,0.490649
1,285,0.855304
2,285,0.819541
10,285,0.631275
100,285,0.540982
1,286,0.496788
2,286,0.44931
10,286,0.402043
100,286,0.511742
1,287,0.419978
2,287,0.631507
10,287,0.526112
100,287,0.529587
1,288,0.635068
2,288,0.566905
10,288,0.663928
100,288,0.499429
1,289,0.629467
2,289,0.743206
10,289,0.575468
100,289,0.48431
1,290,0.3719
2,290,0.323226
10,290,0.53379
100,290,0.496619
1,291,0.201637
2,291,0.469957
10,291,0.714524
100,291,0.53722
1,292,0.0169173
2,292,0.210088
10,292,0.462884
100,292,0.539039
1,293,0.676635
2,293,0.437541
10,293,0.439757
100,293,0.411688
1,294,0.0293355
2,294,0.158579
10,294,0.548431
100,294,0.443681
1,295,0.483603
2,295,0.580061
10,295,0.643524
100,295,0.518801
1,296,0.533884
2,296,0.642395
10,296,0.423677
100,296,0.513191
1,297,0.155825
2,297,0.09875
10,297,0.50958
100,297,0.51972
1,298,0.485174
2,298,0.74211
10,298,0.608878
100,298,0.516194
1,299,0.694316
2,299,0.381701
10,299,0.469538
100,299,0.433973
1,300,0.480503
2,300,0.670383
10,300,0.423227
100,300,0.493555
1,301,0.0798411
2,301,0.384549
10,301,0.420263
100,301,0.493689
1,302,0.221096
2,302,0.258105
10,302,0.357718
100,302,0.510581
1,303,0.933382
2,303,0.472086
10,303,0.402204
100,303,0.563759
1,304,0.62179
2,304,0.401478
10,304,0.508947
100,304,0.495154
1,305,0.325032
2,305,0.220805
10,305,0.338665
100,305,0.467952
1,306,0.569146
2,306,0.470037
10,306,0.573852
100,306,0.46181
1,307,0.731336
2,307,0.682397
10,307,0.436009
100,307,0.48095
1,308,0.328008
2,308,0.175609
10,308,0.405387
100,308,0.511749
1,309,0.141061
2,309,0.108172
10,309,0.344809
100,309,0.486333
1,310,0.596497
2,310,0.402204
10,310,0.629137
100,310,0.458785
1,311,0.309412
2,311,0.634426
10,311,0.481928
100,311,0.510495
1,312,0.209435
2,312,0.496852
10,312,0.52087
100,312,0.501235
1,313,0.160673
2,313,0.42874
10,313,0.513534
100,313,0.502505
1,314,0.49022
2,314,0.52137
10,314,0.445024
100,314,0.489739
1,315,0.339305
2,315,0.297218
10,315,0.399068
100,315,0.519894
1,316,0.251127
2,316,0.465071
10,316,0.454136
100,316,0.551028
1,317,0.909457
2,317,0.752668
10,317,0.596128
100,317,0.470391
1,318,0.442049
2,318,0.418408
10,318,0.449202
100,318,0.477621
1,319,0.202938
2,319,0.543709
10,319,0.526309
100,319,0.549587
1,320,0.447682
2,320,0.707558
10,320,0.700982
100,320,0.493459
1,321,0.815611
2,321,0.64483
10,321,0.601969
100,321,0.504546
1,322,0.0331408
2,322,0.489938
10,322,0.532237
100,322,0.515488
1,323,0.752229
2,323,0.70737
10,323,0.61394
100,323,0.563345
1,324,0.938012
2,324,0.810671
10,324,0.560903
100,324,0.471161
1,325,0.719711
2,325,0.471452
10,325,0.38017
100,325,0.510554
1,326,0.118849
2,326,0.119969
10,326,0.404209
100,326,0.471897
1,327,0.568853
2,327,0.638843
10,327,0.455306
100,327,0.508659
1,328,0.640101
2,328,0.751478
10,328,0.543728
100,328,0.552462
1,329,0.884475
2,329,0.706755
10,329,0.601216
100,329,0.505414
1,330,0.213483
2,330,0.361539
10,330,0.351362
100,330,0.476295
1,331,0.724012
2,331,0.762586
10,331,0.618443
100,331,0.537136
1,332,0.385777
2,332,0.329399
10,332,0.476269
100,332,0.496774
1,333,0.50453
2,333,0.739594
10,333,0.638605
100,333,0.487934
1,334,0.375078
2,334,0.618355
10,334,0.592733
100,334,0.494409
1,335,0.0381963
2,335,0.133513
10,335,0.677722
100,335,0.534882
1,336,0.555473
2,336,0.59784
10,336,0.608955
100,336,0.489985
1,337,0.716173
2,337,0.680101
10,337,0.45049
100,337,0.51912
1,338,0.590159
2,338,0.326437
10,338,0.436802
100,338,0.503634
1,339,0.840954
2,339,0.493632
10,339,0.545487
100,339,0.502899
1,340,0.212996
2,340,0.295841
10,340,0.522475
100,340,0.479849
1,341,0.107142
2,341,0.166321
10,341,0.461319
100,341,0.432564
1,342,0.658504
2,342,0.635753
10,342,0.438128
100,342,0.478432
1,343,0.230656
2,343,0.328688
10,343,0.403699
100,343,0.497472
1,344,0.74029
2,344,0.779711
10,344,0.534417
100,344,0.481379
1,345,0.72638
2,345,0.670858
10,345,0.543474
100,345,0.524843
1,346,0.577915
2,346,0.591864
10,346,0.55399
100,346,0.495711
1,347,0.834256
2,347,0.424803
10,347,0.535575
100,347,0.50056
1,348,0.972202
2,348,0.954674
10,348,0.505912
100,348,0.552231
1,349,0.593799
2,349,0.307513
10,349,0.498915
100,349,0.475898
1,350,0.428978
2,350,0.317565
10,350,0.501029
100,350,0.520226
1,351,0.0670654
2,351,0.425115
10,351,0.457226
100,351,0.52019
1,352,0.831251
2,352,0.706504
10,352,0.648271
100,352,0.458103
1,353,0.710047
2,353,0.637923
10,353,0.440819
100,353,0.539435
1,354,0.759832
2,354,0.694522
10,354,0.611889
100,354,0.509965
1,355,0.892512
2,355,0.886423
10,355,0.449302
100,355,0.480842
1,356,0.462388
2,356,0.33317
10,356,0.429629
100,356,0.44812
1,357,0.566274
2,357,0.478205
10,357,0.475218
100,357,0.51331
1,358,0.470935
2,358,0.544915
10,358,0.391853
100,358,0.511537
1,359,0.0819081
2,359,0.335822
10,359,0.38863
100,359,0.493845
1,360,0.867768
2,360,0.476473
10,360,0.381583
100,360,0.480226
1,361,0.153896
2,361,0.205596
10,361,0.382643
100,361,0.48992
1,362,0.199827
2,362,0.313079
10,362,0.475492
100,362,0.525568
1,363,0.974216
2,363,0.827349
10,363,0.579857
100,363,0.557764
1,364,0.0415081
2,364,0.0536914
10,364,0.405832
100,364,0.466575
1,365,0.474363
2,365,0.56509
10,365,0.399765
100,365,0.486595
1,366,0.205898
2,366,0.247142
10,366,0.383296
100,366,0.482089
1,367,0.735813
2,367,0.498618
10,367,0.587086
100,367,0.518791
1,368,0.604461
2,368,0.689216
10,368,0.48082
100,368,0.478922
1,369,0.548922
2,369,0.476083
10,369,0.501033
100,369,0.48599
1,370,0.755152
2,370,0.58067
10,370,0.378323
100,370,0.495927
1,371,0.120259
2,371,0.127467
10,371,0.365522
100,371,0.451139
1,372,0.938975
2,372,0.646194
10,372,0.368378
100,372,0.564014
1,373,0.928384
2,373,0.839013
10,373,0.480315
100,373,0.476471
1,374,0.00497327
2,374,0.214304
10,374,0.422833
100,374,0.542095
1,375,0.728058
2,375,0.688591
10,375,0.493108
100,375,0.457428
1,376,0.823662
2,376,0.758171
10,376,0.420359
100,376,0.498977
1,377,0.702891
2,377,0.841997
10,377,0.632542
100,377,0.49251
1,378,0.388892
2,378,0.3974
10,378,0.434935
100,378,0.511183
1,379,0.766429
2,379,0.410192
10,379,0.40217
100,379,0.449078
1,380,0.568162
2,380,0.360728
10,380,0.385283
100,380,0.486713
1,381,0.0116789
2,381,0.267477
10,381,0.435344
100,381,0.495075
1,382,0.501352
2,382,0.409674
10,382,0.645222
100,382,0.534748
1,383,0.309068
2,383,0.33061
10,383,0.511053
100,383,0.5067
1,384,0.64791
2,384,0.723123
10,384,0.514977
100,384,0.501284
1,385,0.052844
2,385,0.298855
10,385,0.530693
100,385,0.492016
1,386,0.48247
2,386,0.24284
10,386,0.553414
100,386,0.510707
1,387,0.0559128
2,387,0.354971
10,387,0.555768
100,387,0.490487
1,388,0.838902
